observer,scene,condition_1,condition_2,selection
observer7,RocketLeague,H_3840x2160_bright_near,M_1920x1080_bright_near,1
observer7,NightStreet,M_3840x2160_bright_near,L_1280x720_bright_near,1
observer7,TrafficLight,H_3840x2160_bright_near,L_1280x720_bright_near,1
observer7,SmithHammering,M_1920x1080_bright_near,L_1920x1080_bright_near,1
observer7,SmithHammering,L_1920x1080_bright_near,H_1280x720_bright_near,0
observer7,RocketLeague,L_1280x720_bright_near,L_3840x2160_bright_near,0
observer7,PUBG_p2,H_1920x1080_bright_near,L_3840x2160_bright_near,1
observer7,SmithHammering,H_1280x720_bright_near,M_1280x720_bright_near,1
observer7,Showgirl01,H_1920x1080_bright_near,L_1280x720_bright_near,1
observer7,SolLevante_p2,H_1920x1080_bright_near,M_1920x1080_bright_near,1
observer7,SolLevante_p2,H_1280x720_bright_near,L_1280x720_bright_near,1
observer7,SolLevante_p1,M_1920x1080_bright_near,M_3840x2160_bright_near,0
observer7,RushPixar,L_3840x2160_bright_near,M_3840x2160_bright_near,0
observer7,PorscheCloseUp,M_3840x2160_bright_near,M_1280x720_bright_near,1
observer7,PUBG_p2,H_1280x720_bright_near,L_1920x1080_bright_near,1
observer7,SolLevante_p2,L_1280x720_bright_near,L_3840x2160_bright_near,0
observer7,GearsOfWar4,H_1920x1080_bright_near,M_1280x720_bright_near,1
observer7,Bonfire,L_1280x720_bright_near,H_1280x720_bright_near,0
observer7,RushPixar,L_1920x1080_bright_near,H_1280x720_bright_near,0
observer7,TrafficLight,L_3840x2160_bright_near,L_1920x1080_bright_near,1
observer7,RocketLeague,L_3840x2160_bright_near,H_1280x720_bright_near,0
observer7,GearsOfWar4,H_1280x720_bright_near,L_1280x720_bright_near,1
observer7,CourtYard,H_1920x1080_bright_near,H_1280x720_bright_near,1
observer7,PUBG_p2,M_1920x1080_bright_near,H_1920x1080_bright_near,1
observer7,RushPixar,H_1280x720_bright_near,H_3840x2160_bright_near,0
observer7,ShadowOfTheTombRaider,H_3840x2160_bright_near,M_1280x720_bright_near,1
observer7,NightStreet,H_3840x2160_bright_near,L_3840x2160_bright_near,1
observer7,SolLevante_p1,H_1280x720_bright_near,L_1280x720_bright_near,1
observer7,Bonfire,H_3840x2160_bright_near,M_1280x720_bright_near,1
observer7,ShadowOfTheTombRaider,H_3840x2160_bright_near,M_3840x2160_bright_near,1
observer7,NightStreet,L_1920x1080_bright_near,M_1280x720_bright_near,0
observer7,SolLevante_p2,L_1920x1080_bright_near,L_1280x720_bright_near,1
observer7,SolLevante_p1,H_3840x2160_bright_near,H_1920x1080_bright_near,1
observer7,PorscheCloseUp,H_3840x2160_bright_near,H_1280x720_bright_near,1
observer7,Showgirl01,M_1920x1080_bright_near,L_1920x1080_bright_near,1
observer7,TrafficLight,M_3840x2160_bright_near,L_1280x720_bright_near,1
